algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 600)",10,0.9997199999999999,1.0,1.0,0.08592522,929.8430816198066,1.06287,1.3713837,1.4967918,1.6453298,0.0,59.11277723312378,10.0,197856.0,212.78429007110597,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 80)",10,0.9963,0.9994799999999999,0.9999,0.08594435,3995.6719549118147,0.24676323,0.31661987,0.35452843,0.40578958,0.0,59.11277723312378,10.0,197856.0,49.51757857818604,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 800)",10,0.9997400000000001,1.0,1.0,0.085925214,735.4834652802704,1.342535,1.7297268,1.9054437,2.0623288,0.0,59.11277723312378,10.0,197856.0,269.0148852287292,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 10)",10,0.95258,0.98858,1.0,0.0860813,8229.58606259526,0.11587143,0.17619133,0.21052593,0.26083317,0.0,78.47719216346741,10.0,239328.0,29.081414080810546,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 120)",10,0.9997299999999999,1.0,1.0,0.08592386,1847.045181906452,0.5271435,0.7684468,0.86832047,0.9658355,0.0,78.47719216346741,10.0,239328.0,129.57344105300902,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 20)",10,0.9884600000000001,0.9983299999999999,1.0,0.085960895,5770.90798118991,0.1680851,0.24915929,0.2918313,0.33807963,0.0,78.47719216346741,10.0,239328.0,41.471463551330565,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 200)",10,0.9998699999999999,1.0,1.0,0.08592306,1283.1652296604448,0.7574558,1.1074662,1.2457395,1.4183533,0.0,78.47719216346741,10.0,239328.0,186.51378206634521,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 40)",10,0.99787,0.9998900000000001,1.0,0.08593064,3572.894108763826,0.2708435,0.40650368,0.47707558,0.57292193,0.0,78.47719216346741,10.0,239328.0,66.98435294036865,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 400)",10,0.9999499999999999,1.0,1.0,0.08592284,835.5620178647106,1.1703968,1.6589284,1.8413091,2.166273,0.0,78.47719216346741,10.0,239328.0,286.4275719612121,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 600)",10,0.99996,1.0,1.0,0.08592281,632.6503914342389,1.5513897,2.1694539,2.4032848,2.7215614,0.0,78.47719216346741,10.0,239328.0,378.29424155960083,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 80)",10,0.9995499999999999,1.0,1.0,0.08592488,2428.3286794705305,0.40006638,0.5872368,0.66900253,0.7631786,0.0,78.47719216346741,10.0,239328.0,98.5566748123169,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 96, 'efConstruction': 500}, 'efQuery': 800)",10,0.99996,1.0,1.0,0.08592281,514.883827107226,1.9128323,2.631235,2.8972719,3.1995845,0.0,78.47719216346741,10.0,239328.0,464.8194163421631,fashion-mnist-784-euclidean
aihnngc,"hnng(euclidean,batch)",10,1.0,1.0,1.0,0.0595489264704937,43787.36376164029,0.02169609,0.030052658,0.043632988,0.07083679,0.0,1.463444471359253,10.0,-58527.67578125,-1.3366339225135742,random-xs-20-euclidean
aihnngc,"hnng(euclidean,incremental)",10,1.0,1.0,1.0,0.0595489264704937,13836.148854823332,0.02527237,0.044822693,4.073522,4.1098604,0.0,10.811434030532837,10.0,-56950.875,-4.116092967599631,random-xs-20-euclidean
hnng,hnng,10,1.0,1.0,1.0,0.0595489264704937,17840.20688716483,0.041007996,0.07512569,0.099678054,1.0900214,0.0,1.3324053287506104,10.0,3456.0,0.1937197265625,random-xs-20-euclidean
hnnglib,hnnglib,10,0.0541,0.0595,0.0967,0.3521629716634239,66515.01792001016,0.013589859,0.02313852,0.033857826,0.063231885,0.0,1.2761564254760742,10.0,2592.0,0.03896864318847656,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 10)",10,0.9694,0.9869,1.0,0.05965333524467913,77777.43987242013,0.01168251,0.017178055,0.029106159,0.082740895,0.0,1.6483054161071777,10.0,4320.0,0.05554309844970703,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 120)",10,1.0,1.0,1.0,0.0595489264704937,23165.39912404244,0.040769577,0.059652317,0.074412845,0.14512102,0.0,1.6483054161071777,10.0,4320.0,0.18648502349853516,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 20)",10,0.9978999999999999,0.9996,1.0,0.05955494133427496,61914.94324136811,0.014543533,0.024080276,0.041632798,0.07940155,0.0,1.6483054161071777,10.0,4320.0,0.06977313995361328,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 200)",10,1.0,1.0,1.0,0.0595489264704937,14231.535801899438,0.066280365,0.09634494,0.12756109,0.2280145,0.0,1.6483054161071777,10.0,4320.0,0.30355121612548824,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 40)",10,1.0,1.0,1.0,0.0595489264704937,46100.87820533958,0.019311905,0.0333786,0.0500679,0.17621316,0.0,1.6483054161071777,10.0,4320.0,0.09370754241943359,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 400)",10,1.0,1.0,1.0,0.0595489264704937,7690.664789062958,0.1270771,0.15617609,0.19074202,0.33433953,0.0,1.6483054161071777,10.0,4320.0,0.561719970703125,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 600)",10,1.0,1.0,1.0,0.0595489264704937,5192.242653521531,0.18978119,0.2257824,0.25349623,0.3763472,0.0,1.6483054161071777,10.0,4320.0,0.8320104217529297,random-xs-20-euclidean
hnswlib,"hnswlib ({'M': 12, 'efConstruction': 500}, 'efQuery': 80)",10,1.0,1.0,1.0,0.0595489264704937,33910.35508699308,0.0269413,0.045311447,0.061783824,0.1562453,0.0,1.6483054161071777,10.0,4320.0,0.12739471435546876,random-xs-20-euclidean
